Status,Content type,vid,tmstmp,lat,lon,hdg,pid,rt,des,pdist,dly,tatripid,tablockid,zone
200,application/json;charset=utf-8,8032,20201113 07:33:28,41.71182632,-87.65849304,338,582,9,Irving Park,3629,0,10002261,9 -605,
200,application/json;charset=utf-8,8032,20201113 07:38:37,41.7282486,-87.6627655,359,582,9,Irving Park,9831,0,10002261,9 -605,
200,application/json;charset=utf-8,8032,20201113 07:43:44,41.74314051,-87.66314697,355,582,9,Irving Park,15276,0,10002261,9 -605,
200,application/json;charset=utf-8,8032,20201113 07:48:39,41.75934601,-87.66355133,0,582,9,Irving Park,21160,0,10002261,9 -605,
200,application/json;charset=utf-8,8032,20201113 07:53:45,41.77163474,-87.66390934,359,582,9,Irving Park,25751,0,10002261,9 -605,
200,application/json;charset=utf-8,8032,20201113 07:58:47,41.78709812,-87.66428375,352,582,9,Irving Park,31439,0,10002261,9 -605,
200,application/json;charset=utf-8,8032,20201113 08:03:45,41.8054551,-87.66480255,356,582,9,Irving Park,38156,0,10002261,9 -605,
200,application/json;charset=utf-8,8032,20201113 08:08:42,41.81758544,-87.66494751,359,582,9,Irving Park,42604,0,10002261,9 -605,
200,application/json;charset=utf-8,8032,20201113 08:13:40,41.83056764,-87.66547724,355,582,9,Irving Park,47340,0,10002261,9 -605,
200,application/json;charset=utf-8,8032,20201113 08:18:34,41.83902267,-87.66550769,235,582,9,Irving Park,51018,0,10002261,9 -605,
200,application/json;charset=utf-8,8032,20201113 08:23:28,41.83902373,-87.66540075,233,582,9,Irving Park,51018,0,10002261,9 -605,
200,application/json;charset=utf-8,8032,20201113 08:28:38,41.85296119,-87.66591464,356,582,9,Irving Park,56189,0,10002261,9 -605,
200,application/json;charset=utf-8,8032,20201113 08:33:32,41.86319351,-87.66629791,1,582,9,Irving Park,59914,0,10002261,9 -605,
200,"application/json;charset=utf-8","8032","20201116 19:39:32","41.89349231719971","-87.66712951660156","354",582,"9","Irving Park",71096,0,"10001934","9 -617",""
